Divipola,Departamento,Municipio,Numerador,Denominador,ValorIndicador,Anio
0,Total Nacional,Total Nacional,505,719968,70.14,2005
2000,Total Municipios PDET,Total Municipios PDET,113,104769,107.86,2005
11001,"Bogotá, D.C.","Bogotá, D.C.",64,112477,56.90,2005
5000,Antioquia,Antioquia,61,94636,64.46,2005
76000,Valle del Cauca,Valle del Cauca,55,62297,88.29,2005
13000,Bolivar,Bolivar,29,31846,91.06,2005
8000,Atlántico,Atlántico,29,40624,71.39,2005
25000,Cundinamarca,Cundinamarca,24,35901,66.85,2005
76001,Valle del Cauca,Cali,24,31213,76.89,2005
47000,Magdalena,Magdalena,23,20988,109.59,2005
19000,Cauca,Cauca,20,18263,109.51,2005
2012,Sierra Nevada - Perijá,Sierra Nevada - Perijá,18,26565,67.76,2005
73000,Tolima,Tolima,18,23295,77.27,2005
52000,Nariño,Nariño,18,23489,76.63,2005
54000,Norte de Santander,Norte de Santander,17,20936,81.20,2005
68000,Santander,Santander,17,33737,50.39,2005
44000,La Guajira,La Guajira,15,11447,131.04,2005
15000,Boyacá,Boyacá,15,20523,73.09,2005
5001,Antioquia,Medellín,15,33515,44.76,2005
8001,Atlántico,Barranquilla,14,23295,60.10,2005
27000,Chocó,Chocó,13,5181,250.92,2005
2003,Bajo Cauca y Nordeste Antioqueño,Bajo Cauca y Nordeste Antioqueño,13,9014,144.22,2005
2009,Pacífico Medio,Pacífico Medio,12,5592,214.59,2005
50000,Meta,Meta,11,15922,69.09,2005
2010,Pacífico y Frontera Nariñense,Pacífico y Frontera Nariñense,10,5214,191.79,2005
2016,Urabá Antioqueño,Urabá Antioqueño,10,11302,88.48,2005
76109,Valle del Cauca,Buenaventura,10,4966,201.37,2005
13001,Bolívar,Cartagena,9,17146,52.49,2005
66000,Risaralda,Risaralda,9,12942,69.54,2005
2005,Chocó,Chocó,8,1289,620.64,2005
18000,Caquetá,Caquetá,8,7249,110.36,2005
2006,Cuenca del Caguán y Piedemonte Caqueteño,Cuenca del Caguán y Piedemonte Caqueteño,8,7719,103.64,2005
41000,Huila,Huila,8,20873,38.33,2005
70000,Sucre,Sucre,8,15530,51.51,2005
2001,Alto Patía - Norte del Cauca,Alto Patía - Norte del Cauca,8,10563,75.74,2005
47001,Magdalena,Santa Marta,7,9182,76.24,2005
23000,Córdoba ,Córdoba ,7,27075,25.85,2005
20000,Cesar,Cesar,7,20418,34.28,2005
54001,Norte de Santander,Cúcuta,7,11545,60.63,2005
2013,Sur de Bolívar,Sur de Bolívar,6,2259,265.60,2005
27001,Chocó,Quibdó,6,2752,218.02,2005
2008,Montes de María,Montes de María,6,5749,104.37,2005
2007,Macarena - Guaviare,Macarena - Guaviare,5,3322,150.51,2005
76834,Valle del Cauca,Tuluá,5,3160,158.23,2005
17000,Caldas,Caldas,5,14079,35.51,2005
73001,Tolima,Ibagué,5,8315,60.13,2005
8758,Atlántico,Soledad,5,8075,61.92,2005
50001,Meta,Villavicencio,5,8528,58.63,2005
52001,Nariño,Pasto,5,6166,81.09,2005
25754,Cundinamarca,Soacha,5,5575,89.69,2005
63000,Quindio,Quindio,5,7499,66.68,2005
5495,Antioquia,Nechí,4,479,835.07,2005
44430,La Guajira,Maicao,4,2825,141.59,2005
52835,Nariño,San Andrés de Tumaco,4,3481,114.91,2005
66001,Risaralda,Pereira,4,6318,63.31,2005
44847,La Guajira,Uribia,3,431,696.06,2005
47189,Magdalena,Ciénaga,3,1886,159.07,2005
95000,Guaviare,Guaviare,3,1752,171.23,2005
19517,Cauca,Paez,3,862,348.03,2005
2004,Catatumbo,Catatumbo,3,1722,174.22,2005
44001,La Guajira,Riohacha,3,3699,81.10,2005
17380,Caldas,La Dorada,3,1507,199.07,2005
19001,Cauca,Popayán,3,4137,72.52,2005
68081,Santander,Barrancabermeja,3,3688,81.34,2005
5837,Antioquia,Turbo,3,3518,85.28,2005
15572,Boyacá,Puerto Boyacá,3,985,304.57,2005
86000,Putumayo,Putumayo,3,5208,57.60,2005
5154,Antioquia,Caucasia,3,2270,132.16,2005
70001,Sucre,Sincelejo,3,5316,56.43,2005
85000,Casanare,Casanare,3,5937,50.53,2005
25269,Cundinamarca,Facatativá,3,2145,139.86,2005
81000,Arauca,Arauca,3,5083,59.02,2005
15001,Boyacá,Tunja,3,2967,101.11,2005
13670,Bolívar,San Pablo,3,447,671.14,2005
68689,Santander,San Vicente de Chucurí,3,611,491.00,2005
18753,Caquetá,San Vicente del Caguán,3,880,340.91,2005
76147,Valle del Cauca,Cartago,3,1919,156.33,2005
63001,Quindio,Armenia,3,3764,79.70,2005
19785,Cauca,Sucre,2,139,1438.85,2005
27450,Chocó,Medio San Juan,2,133,1503.76,2005
68077,Santander,Barbosa,2,473,422.83,2005
27205,Chocó,Condoto,2,158,1265.82,2005
94000,Guainía,Guainía,2,518,386.10,2005
52079,Nariño,Barbacoas,2,496,403.23,2005
52250,Nariño,El Charco,2,266,751.88,2005
73443,Tolima,Mariquita,2,615,325.20,2005
44090,La Guajira,Dibulla,2,358,558.66,2005
5490,Antioquia,Necoclí,2,859,232.83,2005
25175,Cundinamarca,Chía,2,1680,119.05,2005
5045,Antioquia,Apartadó,2,3015,66.33,2005
13430,Bolívar,Magangué,2,2205,90.70,2005
54498,Norte de Santander,Ocaña,2,1655,120.85,2005
2011,Putumayo,Putumayo,2,4662,42.90,2005
47245,Magdalena,El Banco,2,1220,163.93,2005
20001,Cesar,Valledupar,2,8912,22.44,2005
41001,Huila,Neiva,2,5794,34.52,2005
2002,Arauca,Arauca,2,3364,59.45,2005
23417,Córdoba ,Lorica,2,2160,92.59,2005
52356,Nariño,Ipiales,2,2038,98.14,2005
23001,Córdoba ,Montería,2,8199,24.39,2005
5360,Antioquia,Itagui,2,3195,62.60,2005
76520,Valle del Cauca,Palmira,2,4205,47.56,2005
25885,Cundinamarca,Yacopí,2,180,1111.11,2005
66572,Risaralda,Pueblo Rico,2,203,985.22,2005
5038,Antioquia,Angostura,2,208,961.54,2005
23300,Córdoba ,Cotorra,2,219,913.24,2005
27361,Chocó,Istmina,2,274,729.93,2005
8137,Atlántico,Campo de La Cruz,2,291,687.29,2005
